VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y
387, 93,  0.47005,  1.72417,  0.044,  0.89216, -0.40384,  0.2024, -0.36637, -0.38478,  0.84718, -1.00,  0.69445,  0.49604,  0.69445,  0.49604,  0.69445,  0.49604
388, 92,  0.4724,  1.67715, -0.02644,  0.85771, -0.30304,  0.41533, -0.50518, -0.34667,  0.79032, -1.00,  0.6896,  0.48783,  0.6896,  0.48783,  0.6896,  0.48783
389, 88,  0.49669,  1.76752,  0.02839,  0.91203, -0.36962,  0.17771, -0.33296, -0.41434,  0.84703, -1.00,  0.68937,  0.49976,  0.68937,  0.49976,  0.68937,  0.49976
390, 84,  0.45564,  1.70721,  0.08304,  0.92319, -0.35091,  0.15678, -0.29972, -0.40195,  0.86522, -1.00,  0.69954,  0.49611,  0.69954,  0.49611,  0.69954,  0.49611
391, 92,  0.4724,  1.67715, -0.02644,  0.85771, -0.30304,  0.41533, -0.50518, -0.34667,  0.79032, -1.00,  0.6896,  0.48783,  0.6896,  0.48783,  0.6896,  0.48783
392, 93,  0.47005,  1.72417,  0.044,  0.89216, -0.40384,  0.2024, -0.36637, -0.38478,  0.84718, -1.00,  0.69445,  0.49604,  0.69445,  0.49604,  0.69445,  0.49604
393, 90,  0.69219,  2.05171, -0.42691,  0.36487,  0.93055,  0.03063,  0.177, -0.10163,  0.97895, -1.00,  0.62204,  0.50496,  0.62204,  0.50496,  0.62204,  0.50496
394, 89,  0.71079,  1.98702, -0.40733,  0.97982,  0.07758,  0.1842, -0.12813, -0.46348,  0.8768, -1.00,  0.627,  0.49879,  0.627,  0.49879,  0.627,  0.49879
395, 94,  0.69181,  1.9873, -0.56324,  0.86512, -0.02057, -0.50114,  0.37336, -0.64077,  0.67084, -1.00,  0.6113,  0.48969,  0.6113,  0.48969,  0.6113,  0.48969
396, 90,  0.69219,  2.05171, -0.42691,  0.36487,  0.93055,  0.03063,  0.177, -0.10163,  0.97895, -1.00,  0.62204,  0.50496,  0.62204,  0.50496,  0.62204,  0.50496
397, 94,  0.69181,  1.9873, -0.56324,  0.86512, -0.02057, -0.50114,  0.37336, -0.64077,  0.67084, -1.00,  0.6113,  0.48969,  0.6113,  0.48969,  0.6113,  0.48969
398, 95,  0.67316,  2.03211, -0.572,  0.35001,  0.89858, -0.26467,  0.87548, -0.21329,  0.43363, -1.00,  0.60648,  0.49242,  0.60648,  0.49242,  0.60648,  0.49242
399, 89,  0.71079,  1.98702, -0.40733,  0.97982,  0.07758,  0.1842, -0.12813, -0.46348,  0.8768, -1.00,  0.627,  0.49879,  0.627,  0.49879,  0.627,  0.49879
400, 91,  0.50329,  1.6953, -0.06294,  0.8727, -0.24087,  0.4247, -0.48768, -0.38818,  0.78197, -1.00,  0.68344,  0.48796,  0.68344,  0.48796,  0.68344,  0.48796
